HCC Region,Region 1,Region 2- North,Region 2- South,Region 3,Region 5,Region 6,Region 7,Region 8,Total
CAPRs,50,134,109,271,118,80,39,4,805
Elastomeric Respirator,71,24,7,8,23,14,0,235,382
"Elastomeric 
Respirator Filters",9,73,1847,12,40,36,0,0,2017
Gloves,1809774,4511908,3118428,3292888,1175924,18785322,5099977,1211600,39005821
"N95 
Respirator 
Masks",81950,195241,411815,142387,34679,218381,54385,40611,1179449
"Surgical 
Masks/Face masks",892725,571611,1818114,600190,101041,2135770,356223,164905,6640579
PAPRs,119,302,246,90,177,235,115,143,1427
"PAPR 
Batteries",216,353,493,199,266,257,181,130,2095
PAPR Filters,415,504,865,391,326,649,215,345,3710
Coveralls,29481,9191,25218,2248,1875,2523,2782,1948,75266
"Surgical 
Gowns",20423,92289,54534,15376,22418,19518,12447,9863,246868
"Surgical 
Isolation 
Gowns",85337,114682,156649,149527,35016,45001,17038,26621,629871
Face Shields,56514,131402,262874,34328,10069,57774,32432,18386,603779
Goggles,6028,14819,72823,21224,9255,30261,9775,666,164851
