HCC Region,Region 1,Region 2- North,Region 2- South,Region 3,Region 5,Region 6,Region 7,Region 8,Total
CAPRs,50,136,109,272,157,135,39,4,902
Coveralls,30874,10666,26631,2248,2003,1890,3046,1620,78978
Elastomeric Respirator,71,24,7,8,23,14,0,0,147
"Elastomeric 
Respirator Filters",9,73,1847,12,40,36,0,0,2017
Face Shields,56688,137183,289602,51125,9849,59187,36446,19916,659996
Gloves,1757990,5008584,4375809,3758574,1091157,18963587,5928076,1481875,42365652
Goggles,6019,14942,28911,31583,9613,33604,9669,619,134960
"N95 
Respirator 
Masks",77633,212897,546045,154343,30684,262593,55435,41132,1380762
"PAPR 
Batteries",216,351,871,205,258,257,239,143,2540
PAPR Filters,415,499,1276,393,314,648,227,351,4123
PAPRs,119,310,1196,100,174,236,173,153,2461
"Surgical 
Gowns",17617,94154,51807,25385,17526,25412,16966,9608,258475
"Surgical 
Isolation 
Gowns",107800,113314,215830,147678,48786,55147,18522,28211,735288
"Surgical 
Masks/Face masks",877712,564846,1526881,675794,113271,4429880,593066,174488,8955938
